roll_name,det_id,area,is_front,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
W-2_RB1in_S10_Forward,637633677,25791.2,0,140.6,-413.675,-529.5,-65.4,-413.675,-529.5,-65.4,-413.675,-654.7,140.6,-413.675,-654.7
W-2_RB1out_S10_Backward,637570189,24081.4,0,-69.9,-448.675,-412,136.1,-448.675,-412,136.1,-448.675,-528.9,-69.9,-448.675,-528.9
W-2_RB1out_S10_Forward,637635725,25791.2,0,-69.9,-448.675,-529.5,136.1,-448.675,-529.5,136.1,-448.675,-654.7,-69.9,-448.675,-654.7
W-2_RB1in_S11_Backward,637568269,24081.4,0,328.601,-287.953,-412,150.199,-390.953,-412,150.199,-390.953,-528.9,328.601,-287.953,-528.9
W-2_RB1in_S11_Forward,637633805,25791.2,0,328.601,-287.953,-529.5,150.199,-390.953,-529.5,150.199,-390.953,-654.7,328.601,-287.953,-654.7
W-2_RB1out_S11_Backward,637570317,24081.4,0,163.802,-423.514,-412,342.204,-320.514,-412,342.204,-320.514,-528.9,163.802,-423.514,-528.9
W-2_RB1out_S11_Forward,637635853,25791.2,0,163.802,-423.514,-529.5,342.204,-320.514,-529.5,342.204,-320.514,-654.7,163.802,-423.514,-654.7
W-2_RB1in_S12_Backward,637568397,24081.4,0,428.553,-85.0743,-412,325.553,-263.476,-412,325.553,-263.476,-528.9,428.553,-85.0743,-528.9
W-2_RB1in_S12_Forward,637633933,25791.2,0,428.553,-85.0743,-529.5,325.553,-263.476,-529.5,325.553,-263.476,-654.7,428.553,-85.0743,-654.7
W-2_RB1out_S12_Backward,637570445,24081.4,0,353.614,-284.873,-412,456.614,-106.471,-412,456.614,-106.471,-528.9,353.614,-284.873,-528.9
W-2_RB1out_S12_Forward,637635981,25791.2,0,353.614,-284.873,-529.5,456.614,-106.471,-529.5,456.614,-106.471,-654.7,353.614,-284.873,-654.7
