#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
370129:9031,07/04/23 16:51:55,693,584,0.292265608,0.229335577
370141:9031,07/04/23 21:21:03,12,9,0.005192691,0.000000005
370142:9031,07/04/23 21:25:42,15,8,0.006429243,0.000000007
370143:9031,07/04/23 21:31:12,13,4,0.005530758,0
370144:9031,07/04/23 21:36:04,1335,1335,0.400300402,0.385556469
370169:9035,07/05/23 11:00:26,1426,1418,0.564893497,0.530374070
370170:9035,07/05/23 20:18:51,24,16,0.007084350,0
370171:9035,07/05/23 20:28:02,40,40,0.011663088,0.000001857
370172:9035,07/05/23 21:11:03,297,297,0.077578752,0.074325027
370175:9036,07/06/23 01:14:03,1814,1757,0.737811876,0.687282748
370186:9036,07/06/23 12:58:37,12,5,0.003402394,0.000000058
370187:9036,07/06/23 13:03:13,9,5,0.002544319,0.000024081
370188:9036,07/06/23 13:06:28,11,8,0.003099666,0.000006685
370189:9036,07/06/23 13:10:44,5,2,0.001401966,0.000000054
370190:9036,07/06/23 13:12:36,10,3,0.002767421,0.000008146
370192:9036,07/06/23 13:16:20,30,7,0.008226453,0.000166271
370195:9036,07/06/23 13:27:39,15,7,0.004080027,0.000000090
370196:9036,07/06/23 13:33:14,98,90,0.026068742,0.020751050
370197:9036,07/06/23 14:11:17,6,6,0.001556034,0.001408270
370292:9043,07/07/23 10:55:04,1,0,0.000000150,0
370293:9043,07/07/23 11:06:26,1597,1589,0.677474598,0.642650873
370294:9043,07/07/23 21:26:41,681,681,0.182047776,0.175120770
370299:9044,07/08/23 03:58:47,26,21,0.006531783,0.002297358
370300:9044,07/08/23 04:08:21,1028,993,0.465171881,0.421317834
370302:9044,07/08/23 10:47:35,8,3,0.003317642,0.000006260
370304:9044,07/08/23 10:50:37,344,328,0.130285151,0.118428209
370307:9044,07/08/23 13:04:05,716,716,0.209050040,0.201406564
370321:9045,07/08/23 19:36:01,116,33,0.035021777,0.005108593
370332:9045,07/08/23 20:20:37,1977,1977,0.743496555,0.707062222
370339:9046,07/09/23 10:48:15,1,0,0.000000161,0
370340:9046,07/09/23 10:54:07,765,765,0.349256229,0.330728729
370354:9049,07/09/23 19:03:55,406,399,0.174947834,0.153647653
370355:9049,07/09/23 21:41:14,125,92,0.060597680,0.041426790
370357:9049,07/09/23 22:29:46,802,802,0.331197608,0.317936480
370405:9050,07/10/23 12:13:32,4,1,0.000000785,0
370406:9050,07/10/23 12:15:32,855,848,0.374557802,0.351030812
370436:9050,07/10/23 17:55:30,27,27,0.011461258,0.010640976
370458:9055,07/11/23 03:15:34,6,0,0.001506797,0
370460:9055,07/11/23 03:17:35,113,113,0.035577496,0.034234878
370471:9056,07/11/23 07:16:46,15,8,0.003252911,0.000824558
370472:9056,07/11/23 07:22:18,43,43,0.010052976,0.009780860
370496:9057,07/11/23 09:34:36,11,3,0.002480279,0.000365880
370497:9057,07/11/23 09:38:33,1439,1439,0.597782654,0.569346566
370520:9059,07/11/23 23:34:13,9,0,0.000001352,0
370522:9059,07/11/23 23:37:38,380,376,0.140354195,0.133858138
370527:9061,07/12/23 07:13:28,1,0,0.000000162,0
370560:9062,07/12/23 12:29:40,371,371,0.156710812,0.149866572
370579:9063,07/12/23 17:34:52,110,104,0.032609905,0.026706539
370580:9063,07/12/23 18:17:16,2983,2875,0.963213125,0.901271624
370654:9065,07/14/23 04:15:30,206,205,0.000023537,0.000023289
370664:9066,07/14/23 07:35:50,67,59,0.011400032,0.007553286
370665:9066,07/14/23 08:01:37,14,6,0.004106385,0.001589138
370666:9066,07/14/23 08:06:51,10,3,0.003108291,0.000015249
370667:9066,07/14/23 08:10:37,103,103,0.040341593,0.037478402
370717:9067,07/15/23 01:05:56,132,132,0.040691312,0.038988424
370725:9068,07/15/23 05:08:38,434,434,0.187115044,0.175959962
370749:9070,07/15/23 17:13:09,1522,1515,0.657055708,0.622040461
370750:9070,07/16/23 03:04:09,9,4,0.002978491,0.000001713
370751:9070,07/16/23 03:07:33,13,8,0.004268407,0.000001577
370752:9070,07/16/23 03:12:25,17,10,0.005553897,0.000003661
370753:9070,07/16/23 03:18:42,250,250,0.076265591,0.073556294
370770:9072,07/16/23 07:48:45,1,0,0.000000149,0.000000132
370772:9072,07/16/23 07:54:49,1269,1258,0.578854461,0.544762762
370774:9072,07/16/23 16:07:33,165,159,0.062035195,0.055099322
370775:9072,07/16/23 17:11:40,175,168,0.059815618,0.053367698
370776:9072,07/16/23 18:19:32,332,332,0.099585875,0.095448445
370790:9073,07/16/23 22:46:09,37,37,0.006454760,0.004544403
372486:9084,08/31/23 05:47:45,7,0,0.000000002,0
372488:9084,08/31/23 05:50:22,34,14,0.000000008,0.000000003
372489:9084,08/31/23 06:03:24,13,5,0.000000333,0.000000001
372490:9084,08/31/23 06:08:17,177,171,0.000010039,0.000009557
